name,mentions,name_pos,cap_ratio,first_pct
Фиакр,13,False,1.0,0.4
Императорский,13,False,0.62,3.8
Алон,13,True,1.0,2.4
Грис,13,False,1.0,0.4
Синеглазый,13,False,1.0,0.9
Клемент,13,True,1.0,53.9
Вейлом,13,False,1.0,0.8
Эдельвейс,12,False,1.0,0.5
Крысиный,12,False,0.92,53.6
Арнольд,12,True,1.0,0.4
Лиана,12,False,0.6,0.7
Росся,12,True,1.0,0.7
Куроюри,12,True,1.0,5.2
Вопросить,12,False,0.8,8.8
Туба,12,False,1.0,24.6
Благодарить,12,False,0.63,4.0
Илька,12,False,1.0,0.5
Архивариус,12,False,0.92,55.1
Портовый,12,False,0.86,64.4
Соляный,12,False,0.92,39.9
Амьенский,12,False,0.92,0.5
Когорта,12,False,0.63,1.5
Лока,12,False,1.0,30.5
Бунжер,12,False,1.0,0.7
Цезарий,12,True,1.0,1.0
Леонхарт,12,False,1.0,1.3
Волкоести,11,False,1.0,72.2
Базиля,11,True,1.0,0.5
Пакт,11,False,1.0,48.1
Мавить,11,False,1.0,0.7
Ундэс,11,False,1.0,0.4
Коко,11,False,1.0,0.7
Альянс,11,False,0.61,0.8
Базилио,11,True,1.0,0.5
Дюрфора,11,False,1.0,0.3
Джунгли,11,False,0.69,2.1
Мэдок,11,False,1.0,0.4
Ловчий,11,False,0.92,4.1
Люкс,11,False,1.0,0.3
Ноктюрн,11,False,1.0,0.4
Гир,11,False,1.0,42.3
Марш,11,False,0.61,1.0
Безмолвствовать,11,False,0.92,38.3
Ресурениум,11,False,1.0,1.1
Кэндзь,11,False,1.0,0.4
Малус,11,False,1.0,1.1
Сирота,11,False,0.61,0.4
Сафи,11,False,1.0,14.7
Роудж,10,True,1.0,0.5
Воронь,10,False,1.0,60.1
Мак,10,False,0.77,25.7
Корвальда,10,True,1.0,0.2
Джекалоп,10,False,1.0,0.8
Шастр,10,True,1.0,59.3
Околдовать,10,False,1.0,1.1
Кенич,10,True,1.0,0.4
Победоносный,10,False,0.83,0.6
Шерлок,10,True,1.0,0.4
Сучжоу,10,False,1.0,3.6
Тайджито,10,False,1.0,17.6
Цецилия,10,True,1.0,0.5
Рейчел,10,False,1.0,0.3
Гвардия,10,False,0.62,24.4
Пирхельма,10,True,1.0,0.9
Скай,10,False,1.0,0.7
Рассесть,10,False,1.0,0.7
Наконец-то,10,False,1.0,16.7
Храмна,10,True,1.0,0.8
Арквилем,10,True,1.0,0.2
Барбатаска,9,False,1.0,3.4
Здравствуй,9,False,1.0,3.7
Одноглазый,9,False,0.64,64.1
Иконоборец,9,False,1.0,1.0
Бермандуа,9,True,1.0,1.1
Тая,9,True,0.9,70.5
Альфа,9,False,1.0,4.2
Гилла,9,True,1.0,32.9
Падший,9,False,0.82,42.3
Саф,9,False,1.0,4.6
Гриж,9,False,1.0,0.4
Фантом,9,False,1.0,40.2
Лунатик,9,False,1.0,21.0
Стронг,9,True,1.0,0.5
Кот,9,False,0.64,21.3
Охуеть,9,False,0.82,46.0
Грейсон,9,True,1.0,0.5
Хао,9,False,1.0,70.5
Домреми,9,True,1.0,37.6
Вебер,9,False,1.0,0.5
Гий,9,False,1.0,0.2
Здравствуйте,9,False,0.82,13.4
Раймонд,9,True,1.0,0.1
Ларк,9,True,1.0,0.7
Героиня,9,False,0.82,0.1
