name,mentions,name_pos,cap_ratio,first_pct,status,comment_mentions
Камп,14,False,1.0,65.3,mentioned_not_guessed,2
Луноход,14,False,1.0,0.8,never_mentioned,0
Пич,14,False,1.0,0.6,mentioned_not_guessed,1
Аларика,14,True,1.0,0.4,live_guess,8
Перси,14,False,1.0,0.7,never_mentioned,0
Тора,14,False,1.0,18.8,never_mentioned,0
Амаль,14,True,1.0,0.3,never_mentioned,0
Праведный,14,False,0.93,0.8,never_mentioned,0
Возрождение,14,False,0.67,0.6,never_mentioned,0
Дейси,14,False,1.0,0.6,never_mentioned,0
Цитата,14,False,0.88,94.9,never_mentioned,0
Рауль,14,True,1.0,0.3,mentioned_not_guessed,1
Лорхан,14,False,1.0,42.7,never_mentioned,0
Сан,14,False,0.74,0.3,never_mentioned,0
Цветной,13,False,0.81,1.3,mentioned_not_guessed,2
Вейлом,13,False,1.0,0.8,never_mentioned,0
Клемент,13,True,1.0,53.9,mentioned_not_guessed,1
Синеглазый,13,False,1.0,0.9,never_mentioned,0
Грис,13,False,1.0,0.4,never_mentioned,0
Алон,13,True,1.0,2.4,never_mentioned,0
Императорский,13,False,0.62,3.8,mentioned_not_guessed,1
Фиакр,13,False,1.0,0.4,never_mentioned,0
Мишель,13,True,1.0,0.3,never_mentioned,0
Луперкома,13,False,1.0,33.6,never_mentioned,0
Нэнси,13,True,1.0,0.3,never_mentioned,0
Бурка,13,False,1.0,1.4,never_mentioned,0
Рудейский,13,False,0.87,0.7,mentioned_not_guessed,16
Шиный,13,False,1.0,0.4,never_mentioned,0
Рем,13,True,1.0,24.6,never_mentioned,0
Арчибальд,13,True,1.0,0.3,mentioned_not_guessed,1
Леонхарт,12,False,1.0,1.3,never_mentioned,0
Цезарий,12,True,1.0,1.0,never_mentioned,0
Бунжер,12,False,1.0,0.7,never_mentioned,0
Илька,12,False,1.0,0.5,never_mentioned,0
Когорта,12,False,0.63,1.5,never_mentioned,0
Амьенский,12,False,0.92,0.5,never_mentioned,0
Соляный,12,False,0.92,39.9,never_mentioned,0
Портовый,12,False,0.86,64.4,mentioned_not_guessed,1
Архивариус,12,False,0.92,55.1,mentioned_not_guessed,2
Лока,12,False,1.0,30.5,never_mentioned,0
Благодарить,12,False,0.63,4.0,never_mentioned,0
