name,mentions,commenters,author_mentions,name_pos,cap_ratio,first_seen,last_seen,samples
Въехать,1,1,0,False,1.0,2026-05-29,2026-05-29,"[41237576] Очередной альтернативный верс Ремонта"" Через дырку в небесах Въехал белый Мерседес Всем раздал по три рубля И проехал мимо. Друзья-акробаты Поколение дворников "
Мерседес,1,1,0,False,1.0,2026-05-29,2026-05-29,"[41237576] Очередной альтернативный верс Ремонта"" Через дырку в небесах Въехал белый Мерседес Всем раздал по три рубля И проехал мимо. Друзья-акробаты Поколение дворников "
Серёга,1,1,0,True,1.0,2026-05-28,2026-05-28,"[41214460] В условиях отсутствия информации данный вариант так же вероятен, как и прочие, товарищ Серега"
Отказ,1,1,0,False,1.0,2026-05-28,2026-05-28,"[41214571] У тебя ещё есть с неделю на клепку-заклепку мемов. Так что ничего не знаем, ждём ещё. Отказ неприемлем и будет воспринят, как подрыв критической инфраструктуры "
Ава,1,1,0,True,0.17,2026-05-28,2026-05-28,"[41214571] У тебя ещё есть с неделю на клепку-заклепку мемов. Так что ничего не знаем, ждём ещё. Отказ неприемлем и будет воспринят, как подрыв критической инфраструктуры "
Легио,1,1,0,True,1.0,2026-05-28,2026-05-28,"[41214571] У тебя ещё есть с неделю на клепку-заклепку мемов. Так что ничего не знаем, ждём ещё. Отказ неприемлем и будет воспринят, как подрыв критической инфраструктуры "
Абсолютный,1,1,0,False,1.0,2026-05-27,2026-05-27,[41203450] Абсолютная правда
Сильвер,1,1,0,True,1.0,2026-05-27,2026-05-27,"[41199739] Новый приступ шизы Пов будет от кого-то из команды ASRB (42 глава),  в которой Аш Сильвер, Гарнет Стронг, Йоланд Блу, Жон Редсмит (возможно, именно в этом нюанс"
Гарнет,1,1,0,False,1.0,2026-05-27,2026-05-27,"[41199739] Новый приступ шизы Пов будет от кого-то из команды ASRB (42 глава),  в которой Аш Сильвер, Гарнет Стронг, Йоланд Блу, Жон Редсмит (возможно, именно в этом нюанс"
Стронг,1,1,0,True,1.0,2026-05-27,2026-05-27,"[41199739] Новый приступ шизы Пов будет от кого-то из команды ASRB (42 глава),  в которой Аш Сильвер, Гарнет Стронг, Йоланд Блу, Жон Редсмит (возможно, именно в этом нюанс"
Йоланда,1,1,0,True,1.0,2026-05-27,2026-05-27,"[41199739] Новый приступ шизы Пов будет от кого-то из команды ASRB (42 глава),  в которой Аш Сильвер, Гарнет Стронг, Йоланд Блу, Жон Редсмит (возможно, именно в этом нюанс"
Блу,1,1,0,False,1.0,2026-05-27,2026-05-27,"[41199739] Новый приступ шизы Пов будет от кого-то из команды ASRB (42 глава),  в которой Аш Сильвер, Гарнет Стронг, Йоланд Блу, Жон Редсмит (возможно, именно в этом нюанс"
Редсмит,1,1,0,True,1.0,2026-05-27,2026-05-27,"[41199739] Новый приступ шизы Пов будет от кого-то из команды ASRB (42 глава),  в которой Аш Сильвер, Гарнет Стронг, Йоланд Блу, Жон Редсмит (возможно, именно в этом нюанс"
Базиля,1,1,0,True,1.0,2026-05-27,2026-05-27,"[41199739] Новый приступ шизы Пов будет от кого-то из команды ASRB (42 глава),  в которой Аш Сильвер, Гарнет Стронг, Йоланд Блу, Жон Редсмит (возможно, именно в этом нюанс"
Патлатый,1,1,0,False,1.0,2026-05-27,2026-05-27,"[41199739] Новый приступ шизы Пов будет от кого-то из команды ASRB (42 глава),  в которой Аш Сильвер, Гарнет Стронг, Йоланд Блу, Жон Редсмит (возможно, именно в этом нюанс"
Что-нибудь,1,1,0,False,1.0,2026-05-27,2026-05-27,"[41195137] Что-нибудь, что позволяет сражаться дольше, чем ты должен. Игнорирование ран, игнорирование страха, игнорирование недостатка ауры. С одной стороны - делает меня"
Техник,1,1,0,False,1.0,2026-05-27,2026-05-27,"[41191891] Я бы выделил для себя два варианта: 1) работа с механизмами (я люблю дело, которому хочу посвятить всю жизнь), не совсем как у Техника из фанфика, а скорее поис"
Детукции,1,1,0,False,1.0,2026-05-27,2026-05-27,"[41191296] Подобие Детукции или чтения мыслей. Люблю знать, что в головах у окружающих.)"
Мобильный,1,1,0,False,1.0,2026-05-27,2026-05-27,[41191063] Подобие Мобильного Сборочного Цеха: *Звуки трансформации гигантского цеха на гусеницах* — New construction options. *Звуки постройки базы за 5 минут* *Заказ 100
Сборочный,1,1,0,False,1.0,2026-05-27,2026-05-27,[41191063] Подобие Мобильного Сборочного Цеха: *Звуки трансформации гигантского цеха на гусеницах* — New construction options. *Звуки постройки базы за 5 минут* *Заказ 100
Заказ,1,1,0,False,1.0,2026-05-27,2026-05-27,[41191063] Подобие Мобильного Сборочного Цеха: *Звуки трансформации гигантского цеха на гусеницах* — New construction options. *Звуки постройки базы за 5 минут* *Заказ 100
Браться,1,1,0,False,1.0,2026-05-25,2026-05-25,"[41149671] Товарищ Автор, появилась идея как проводить дуэли в крузаках 3, ставка на которых- выпуск глав. Берется два персонажа, максимально возможно прокачиваются, а зат"
Вархамер,1,1,0,True,1.0,2026-05-29,2026-05-29,"[41250763] Целая глава про книгу псевдо ""Вархамер""?"
Каво,1,1,0,True,1.0,2026-05-28,2026-05-28,[41206401] Каво. Какой инцест и вообще ты там на миллион знаков что ли идёшь?
